name,description,price,barcode,available_items,category,brand
Lidocaine Hydrochloride,"Insertion of Infusion Dev into R Subclav Vein, Open Approach",480,396197515-9,10,Lidocaine Hydrochloride,Acme United Corporation
salicylic acid,"Revision of Ext Fix in R Toe Phalanx, Open Approach",359,701549292-X,4,SOLV X,"Mediceutical Laboratories, LTD"
Naproxen,"Dilate of R Com Carotid with 3 Drug-elut, Perc Endo Approach",510,949211227-2,2,Naproxen,State of Florida DOH Central Pharmacy
menthol,"Replacement of C-thor Jt with Synth Sub, Open Approach",644,582483994-8,1,Moisture Therapy,"Avon Products, Inc."
"Dihydroergocornine Mesylate, Dihydroergocristine Mesylate, Dihydro-.alpha.-ergocryptine mesylate, and Dihydro-.beta.-ergocryptine mesylate","Supplement Face Subcu/Fascia w Nonaut Sub, Perc",218,287435315-9,10,Ergoloid Mesylates,Carilion Materials Management
"benzocaine, tetracaine hydrochloride","Repair Left Neck Lymphatic, Percutaneous Endoscopic Approach",64,499907699-3,3,Denti-Care Denti-Freeze,AR Medicom Inc
Stavudine,"Fusion of Left Elbow Joint with Ext Fix, Perc Approach",49,505790080-3,5,Stavudine,"Camber Pharmaceuticals, Inc."
tretinoin,"Destruction of Left Upper Arm Skin, External Approach",568,278726522-7,5,Tretinoin,Rebel Distributors Corp
salicylic acid,"Replacement of C-thor Jt with Autol Sub, Open Approach",874,911382332-9,8,Dr. Scholls,"MSD Consumer Care, Inc."
Leeks,Planar Nucl Med Imag of Chest & Neck using Gallium 67,233,814243574-8,10,Leeks,"Nelco Laboratories, Inc."
HYDROXYZINE PAMOATE,"Inspection of Prostate and Seminal Vesicles, Open Approach",639,688923179-1,1,Hydroxyzine Pamoate,Contract Pharmacy Services-PA
"Arnica montana, Cactus grandiflorus, Capsicum annuum, Spigelia anthelmia, Digitalis purpurea, Kali phosphoricum, Laurocerasus, Tabacum,","Division of L Foot Subcu/Fascia, Perc Approach",898,747292048-7,6,Cardioforce,"BioActive Nutritional, Inc."
Alcohol,"Revision of Intralum Dev in Vagina & Cul-de-sac, Via Opening",135,315622731-5,7,Honeysuckle Ginger Hand Sanitizer,Unique Holding Group Inc
"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone","Supplement Left Tarsal with Autol Sub, Perc Endo Approach",967,315826504-4,1,Kids Disappearing Color SPF50 Broad Spectrum Suncreen Pink Strawberry Scented,CVS Pharmacy
Berberis Oxalis,"Extirpate matter from L Low Arm & Wrist Muscle, Perc",302,214688627-7,7,Berberis Oxalis,Uriel Pharmacy Inc.
TECHNETIUM TC-99M SESTAMIBI,"Dilation of R Int Carotid with Intralum Dev, Open Approach",303,067559872-9,1,Kit for the Preparation of Technetium Tc99m Sestamibi,"Pharmalucence, Inc."
Heparin Sodium,"Removal of Infusion Device from Hepatobil Duct, Via Opening",685,219574523-1,3,Heparin Sodium,Sagent Pharmaceticals
"Boricum gluconicum, Calcarea gluconica, Chromium gluconicum, Cobaltum gluconicum, Cuprum gluconicum, Ferrum gluconicum, Kali gluconicum, Magnesia gluconica, Manganum gluconicum, Natrum gluconicum, Nic",Fluoroscopy of Left Vertebral Artery using H Osm Contrast,617,337995822-0,9,Bio Electrolyte,Apotheca Company
"Alder, Red Alnus rubra","Insert Infusion Dev in L Ext Jugular Vein, Open",788,151562317-3,4,"Pollens - Trees, Alder, Red Alnus rubra",Jubilant HollisterStier LLC
Walnut Black Pollen,"Removal of Ext Fix from R Ankle Jt, Perc Endo Approach",767,854116628-7,3,JUGLANS NIGRA POLLEN,"ALK-Abello, Inc."
Terbinafine,"Dilate L Axilla Art, Bifurc, w 4+ Intralum Dev, Perc Endo",776,609361939-7,6,Terbinafine Hydrochloride,Carilion Materials Management
"MENTHOL, METHYL SALICYLATE","Dilate L Com Iliac Vein w Intralum Dev, Perc Endo",643,617526981-0,9,PAIN BUST R II,"CCA Industries, Inc."
"Anacardium orientale, Apis mellifica, Carbo vegetabilis, Carduus marianus, Cocculus indicus, Kali phosphoricum, Nux vomica, Passiflora incarnata, Phosphoricum acidum, Tabacum,","Extraction of Sternum Bone Marrow, Open Approach, Diagnostic",67,349297153-9,7,Jet Lag,"Liddell Laboratories, Inc."
Phenol,"Insertion of Pacemaker Lead into L Ventricle, Perc Approach",321,881221920-9,4,phenol,Perrigo New York Inc
Acetaminophen,"Excision of Right Shoulder Region, Open Approach, Diagnostic",450,863136903-9,8,Pain Reliever,Cardinal Health
Triamcinolone Acetonide,"Excision of Right Acetabulum, Percutaneous Approach, Diagn",9,002874385-7,7,Triamcinolone Acetonide,A-S Medication Solutions LLC
Hydrochlorothiazide,"Repair Right Abdomen Tendon, Open Approach",321,060078141-0,1,Hydrochlorothiazide,Rebel Distributors Corp
Coconut,"Transfer R Hand Subcu/Fascia with Skin, Subcu, Open Approach",3,894192451-0,4,Coconut,"Nelco Laboratories, Inc."
TRICLOSAN,"Reattachment of R Knee Bursa/Lig, Perc Endo Approach",135,911446709-7,2,CARE ONE,AMERICAN SALES COMPANY
HYDROXYZINE PAMOATE,"Bypass Inf Vena Cava to Low Vein w Autol Vn, Perc Endo",55,809472098-0,9,HYDROXYZINE PAMOATE,TYA Pharmaceuticals
clonidine hydrochloride,"Occlusion of Trachea with Intraluminal Device, Open Approach",805,644297400-6,5,CLONIDINE HYDROCHLORIDE,"Blenheim Pharmacal, Inc."
Ibuprofen,"Replacement of Bi Breast with Autol Sub, Open Approach",168,475291106-X,10,Advil Liquigels,"Lil' Drug Store Products, Inc"
propolis,"Insert of Endobronch Valve into L Main Bronc, Perc Approach",710,272110567-1,8,Seoul Propolia,Seoul Propolis
Modafinil,"Repair Female Reproductive System in POC, Perc Approach",985,857859321-9,5,Modafinil,American Health Packaging
"Diphenhydramine HCl, Zinc Acetate","Revision of Drainage Device in Vagina and Cul-de-sac, Endo",728,762868960-4,8,Diphenhydramine,"NexMed (USA), Inc."
"Octinoxate, Octisalate, and Oxybenzone","Bypass R Ureter to Colocutan with Nonaut Sub, Open Approach",370,472385613-7,9,Karavita Face Essential with SPF 15,"Kara Vita, Inc."
Olanzapine pamoate,HDR Brachytherapy of Head & Neck using Iridium 192,528,073418453-0,3,ZYPREXA,Eli Lilly and Company
Lisinopril and hydrochlorothiazide,"Drainage of Left Metatarsal, Percutaneous Approach, Diagn",228,630588616-4,7,Lisinopril and hydrochlorothiazide,Proficient Rx LP
piperacillin sodium and tazobactam sodium,"Insertion of Int Fix into R Tarsal, Perc Approach",773,314725362-7,1,Zosyn,"Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc."
Acetaminophen and Diphenhydramine Citrate,"Revision of Synth Sub in Up Tendon, Extern Approach",912,177748252-6,9,Headache Relief PM,"VALUE MERCHANDISERS COMPANY, INC."
Diazepam,"Excision of Right Upper Femur, Perc Endo Approach, Diagn",964,860966437-6,2,Diazepam,KAISER FOUNDATION HOSPITALS
Anticoagulant Citrate Phosphate Dextrose (CPD) Solution and ADSOL Preservation Solution,"Transfuse Autol Frozen Red Cells in Periph Vein, Perc",70,221971646-5,4,ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),"Fenwal, Inc."
String Beans,"Restriction of R Up Extrem Lymph, Perc Approach",197,051627233-0,4,String Beans,"Nelco Laboratories, Inc."
"Avena Sativa Flowering Top, Arabica Coffee Bean, Lavandula Angustifolia Flowering Top, Passiflora Incarnata Flowering Top, Piper Methysticum Root, and Valerian","Supplement R Pulm Art with Autol Sub, Perc Endo Approach",621,334495466-0,10,Sleep Well Being,Forces of Nature
"Octinoxate, Titanium Dioxide, and Zinc Oxide","Excision of Left Foot Artery, Perc Endo Approach, Diagn",954,984661481-0,10,LBEL EFFET PARFAIT MINERAL NATURAL SKIN EFFECT MOUSSE FOUNDATION SPF 16,Ventura Corporation LTD
Gabapentin,"Dilate of L Temporal Art with 2 Intralum Dev, Open Approach",164,381627141-3,10,Gabapentin,REMEDYREPACK INC.
AGARICUS EMETICUS,Removal of Splint on Face,677,211287572-8,5,AGARICUS EMETICUS,HOMEOLAB USA INC.
"Avena sativa, Carduus marianus, Damiana, Galium aparine, Hamamelis virginiana, Hepar bovinum, Korean ginseng, Nuphar luteum, Orchitinum bovinum,","Destruction of Perineum Muscle, Perc Endo Approach",273,780953075-5,5,Testosterone,"Liddell Laboratories, Inc."
"Belladonna 30c, Cinchona 30c, Ferrum Phos 30c, Gelsemium 30c, Glonoine 30, Lachesis 30c, Nat Mur 30c, Nux Vomica 30c, Sanguinaria 30c, Sepia 30c, Sulphur 30c, Tarentula 30c, Ustillago 30c, Veratrum Album 30c","Drainage of Right External Iliac Vein, Open Approach, Diagn",60,956494500-3,9,Hormonal Headaches,Home Sweet Homeopathics
Triclosan,"Excision of Right Shoulder Muscle, Perc Approach, Diagn",673,013295803-1,7,Astound Antibacterial,"Deb USA, Inc."
risperidone,"Restrict L Ext Iliac Vein w Intralum Dev, Perc Endo",244,504105945-4,2,Risperidone,Qualitest Pharmaceuticals
Phenylephrine hydrochloride,"Drainage of Hymen, Endo",193,057066972-3,2,Neo-Synephrine Cold and Sinus,Bayer HealthCare Consumer Care
Amlodipine Besylate,"Supplement Left Clavicle with Synth Sub, Perc Endo Approach",154,944221107-2,10,Amlodipine Besylate,Legacy Pharmaceutical Packaging
Calcium Acetate,"Release Right Neck Muscle, Percutaneous Endoscopic Approach",794,464907753-2,7,Calcium Acetate,American Health Packaging
"OCTINOXATE, OCTISALATE, TITANIUM DIOXIDE","Replace Neck Skin w Nonaut Sub, Full Thick, Extern",37,174662168-0,6,Hourglass Illusion Tinted Moisturizer Beige,"Kingdom Animalia, LLC DBA Hourglass Cosmetics"
OCTINOXATE and TITANIUM DIOXIDE,"Extirpation of Matter from Coronary Vein, Perc Approach",733,638652490-X,7,SENSAI,KANEBO COSMETICS INC.
Menthol,"Drainage of Lumbar Nerve with Drainage Device, Perc Approach",2,301345405-9,4,Equaline,Supervalu Inc.
Olive Pollen,CT Scan of R Hand using L Osm Contrast,846,808952763-9,6,Olive Pollen,"Nelco Laboratories, Inc."
Ribavirin,"Excision of Right Lung, Via Natural or Artificial Opening",51,012008391-4,2,Ribavirin,Aurobindo Pharma Limited
Acetaminophen,"Excision of Perineum Bursa and Ligament, Perc Endo Approach",31,075749379-3,9,Acetaminophen,Kroger Company
Promethazine Hydrochloride,Planar Nucl Med Imag of Whole Body using Technetium 99m,797,937167958-1,8,Promethazine Hydrochloride,Qualitest Pharmaceuticals
Lorazepam,"Excision of Cervix, Endo, Diagn",680,924764848-3,2,Lorazepam,TYA Pharmaceuticals
mupirocin calcium,"Bypass Jejunum to Ascending Colon, Perc Endo Approach",747,529301354-8,9,BACTROBAN,REMEDYREPACK INC.
ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,"Drainage of Right Sacroiliac Joint, Open Approach",57,296778538-5,4,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,Lake Erie Medical DBA Quality Care Products LLC
Polyethylene Glycol 3350,"Division of Left Upper Arm Tendon, Open Approach",866,688419562-2,1,MiraLAX,Cardinal Health
fenofibrate,"Excision of Right Internal Mammary Lymphatic, Open Approach",247,615195090-9,8,Fenofibrate,"Physicians Total Care, Inc."
Phenylephrine HCl,"Drainage of R Up Arm Muscle with Drain Dev, Perc Approach",419,378389243-0,10,Phenylephrine HCl,Cantrell Drug Company
Glycopyrrolate,"Restriction of Innom Art with Intralum Dev, Open Approach",655,444543684-4,2,Glycopyrrolate,West-ward Pharmaceutical Corp.
diltiazem hydrochloride,"Revise Tissue Expander in Low Extrem Subcu/Fascia, Open",218,861029671-7,5,Diltiazem Hydrochloride,"Physicians Total Care, Inc."
Pseudoephedrine hydrochloride,"Restriction of Right Internal Iliac Artery, Open Approach",559,542219550-7,2,Pseudoephedrine hydrochloride,Ohm Laboratories Inc.
sodium phosphate,"Alteration of Face, Percutaneous Approach",945,639161115-7,3,Saline Laxative,Cardinal Health
Nicotine Polacrilex,"Dilation of L Up Lobe Bronc with Intralum Dev, Perc Approach",487,440895522-1,2,smart sense nicotine polacrilex,Kmart Corporation
Salt Grass,"Extirpate matter from L Less Saphenous, Perc Endo",830,192441301-9,5,DISTICHLIS SPICATA POLLEN,"ALK-Abello, Inc."
"octinoxate, octisalate, octocrylene, oxybenzone, titanium dioxide","Repair Uterus, Open Approach",515,798861608-0,4,Cetaphil Daily Facial Moisturizer SPF 50,"Galderma Laboratories, L.P."
"OCTINOXATE, TITANIUM DIOXIDE, and ZINC OXIDE","Supplement L Basilic Vein with Synth Sub, Perc Endo Approach",955,596003352-6,2,Sulwhasoo Lumitouch Foundation,AMOREPACIFIC
Ensulizole Octinoxate,"Removal of Synth Sub from R Hip Jt, Perc Endo Approach",396,169618220-4,2,LOreal Paris Skin Expertise Collagen Moisture Filler,L'Oreal USA Products Inc
albuterol sulfate,"Inspection of Right Tarsal Joint, Percutaneous Approach",79,015971136-3,10,VENTOLINHFA,REMEDYREPACK INC.
Acetaminophen,"Destruction of Right Atrium, Open Approach",52,158011361-3,2,Extra Strength Pain Reliever,NASH-FINCH COMPANY
topiramate,"Reposition Right Metacarpophalangeal Joint, Perc Approach",353,879610355-8,4,Topiramate,Mylan Institutional Inc.
Aspirin,"Revision of Synth Sub in Up Bursa/Lig, Extern Approach",689,499642809-0,4,Safety Coated Aspirin,Valu Merchandisers Company (Best Choice)
DIPHENDYDRAMINE HYDROCHLORIDE,"Skin and Breast, Supplement",64,841753026-6,2,DIPHENDYDRAMINE HYDROCHLORIDE,REMEDYREPACK INC.
Naproxen Sodium,"Resection of Tonsils, Open Approach",626,488765890-7,2,TopCare All Day Pain Relief,Topco Associates LLC
TITANIUM DIOXIDE,"Repair Lymph & Hemic in POC with Oth Dev, Perc Endo Approach",796,923130523-9,7,ALOE SUN BB,"SKINFOOD CO., LTD."
Prochlorperazine Maleate,"Drainage of Left Popliteal Artery, Percutaneous Approach",414,850307119-3,3,Prochlorperazine Maleate,Teva Pharmaceuticals USA Inc
Oxygen,"Fusion of Right Tarsal Joint with Synth Sub, Perc Approach",523,799548989-7,9,Oxygen,Temple Industrial Welding Supply Co
"Adenosinum cyclophosphoricum, Adrenalinum, Adrenocorticotrophin, Alfalfa, Allium cepa, Ambrosia artemisiaefolia, Cortisone aceticum, Erechtites hieracifolia, Erigeron canadensis, Euonymus atropurpureus, Euphrasia officinalis, Galphimia glauca, Histaminum hydrochloricum, Kali muriaticum, Mucosa nasalis suis, Natrum muriaticum, RNA, Sabadilla, Stramonium, Triticum repens","Bypass Abd Aorta to L Renal A with Autol Vn, Open Approach",874,537604259-6,2,AllergyEase Desert,"Native Remedies, LLC"
hydrocodone polistirex and chlorpheniramine polistirex,"Removal of Drain Dev from Fallopian Tube, Extern Approach",839,991090484-5,1,Tussionex Pennkinetic,UCB Manufacturing Inc
"Acetaminophen, guaifenesin, phenylephrine HCl","Drainage of R Foot Subcu/Fascia, Open Approach, Diagn",124,183404536-3,10,mucus relief,Kroger Company
Minocycline Hydrochloride,"Revision of Infusion Device in Chest Wall, External Approach",361,097722341-8,9,Minocycline Hydrochloride,"PD-Rx Pharmaceuticals, Inc."
ampicillin,"Insertion of Other Device into Lower Jaw, Perc Endo Approach",735,626040696-7,4,ampicillin,Sagent Pharmaceuticals
Acyclovir,"Reposition Left Hip Joint with Ext Fix, Extern Approach",450,163785100-6,2,Acyclovir,"Blenheim Pharmacal, Inc."
"Guaifenesin, Dextromethorphan HBr","Bypass Left Ureter to Cutan with Synth Sub, Perc Approach",540,053680696-9,9,Mucus Relief DM,P and L Development of New York Corporation (ReadyInCase)
Valsartan and hydrochlorothiazide,"Alteration of Nose with Autol Sub, Extern Approach",120,975301606-9,9,Valsartan and hydrochlorothiazide,"AvKARE, Inc."
drospirenone and ethinyl estradiol,"Drainage of Right Abdomen Muscle, Open Approach",297,064351799-5,7,Yasmin,"Physicians Total Care, Inc."
"Acetaminophen, Diphenhydramine HCl","Supplement Papillary Muscle w Autol Sub, Perc Endo",700,112207721-1,1,ShopRite Pain Relief PM,Wakefern Food Corporation
HYDROXYZINE HYDROCHLORIDE,Compression of Left Upper Leg using Intermit Pressure Dev,972,795586814-5,5,HYDROXYZINE HYDROCHLORIDE,American Health Packaging
Vecuronium Bromide,"Revision of Drainage Device in Thyroid Gland, Perc Approach",599,685293254-0,3,Vecuronium Bromide,Pfizer Laboratories Div Pfizer Inc
"Arnica montana, Calendula officinalis, Echinacea, Hydrastis canadensis, Myrrha, Phytolacca Decandra, Tarasacum officinale, Trifolium pratense, Trigonella foenum-graecum, Urtica cioica, Propolis, Adrenalinum, Gunpowder, Thymus (suis), Thyroidinum (suis), Arsenicum album, Cocculus indicus, Iridium metallicum, Lycopodium clavatum Phosphorus,","Drainage of Lower Artery, Open Approach",601,433012476-9,4,LYM,"Deseret Biologicals, Inc."
LIDOCAINE HYDROCHLORIDE and EPINEPHRINE,"Transfuse Nonaut Serum Albumin in Periph Art, Open",648,981992233-X,4,Lidocaine Hydrochloride and Epinephrine,"Hospira, Inc."
"BENZOCAINE, RESORCINOL","Replacement of Celiac Artery with Nonaut Sub, Open Approach",199,123422385-6,2,Vagicaine,"Personal Care Products, Inc."
"famotidine, calcium carbonate and magnesium hydroxide","Excision of Lower Gingiva, External Approach",579,632965039-X,1,Up and Up dual action acid controller complete,Target Corporation
bacitracin zinc,"Bypass L Atrium to R Pulm Art w Autol Vn, Perc Endo",540,436664601-3,4,Bacitracin Zinc,Actavis Mid Atlantic LLC
TRETINOIN,"Division of Right Palatine Bone, Perc Endo Approach",812,593362828-X,1,TRETIN.X,Onset Dermatologics LLC
OCTINOXATE and ZINC OXIDE,"Release Femoral Nerve, Percutaneous Approach",741,117470712-7,8,IOPE SS,AMOREPACIFIC
Folic Acid,LDR Brachytherapy of Thorax Lymph using Iridium 192,887,176154298-2,5,Folic Acid,REMEDYREPACK INC.
Benzalkonium Chloride,"Dilation of Right Radial Artery, Bifurc, Perc Endo Approach",442,178231790-2,1,XtraCare Foam Antibacterial Hand Wash,China Ningbo Shangge Cosmetic Technology Corp
Metronidazole,"Occlusion of R Renal Art with Extralum Dev, Open Approach",822,580483971-3,2,Metronidazole,Carilion Materials Management
Metronidazole,Plain Radiography of Hepatic Artery using L Osm Contrast,458,557652298-2,9,Metronidazole,Amerincan Health Packaging
Diphenhydramine Hydrochloride,"Excision of Right Epididymis, Perc Endo Approach, Diagn",461,580588807-6,1,Diphenhydramine Hydrochloride,Advance Pharmaceutical Inc.
Warfarin Sodium,"Excision of Stomach, Pylorus, Percutaneous Approach",248,404414948-8,4,Warfarin Sodium,Rebel Distributors Corp
Ethyl Alcohol,"Excision of R Hand Subcu/Fascia, Perc Approach, Diagn",995,027816952-X,2,Blue Cross Laboratories,Blue Cross Laboratories
Simvastatin,"Replace of L Metacarpal with Autol Sub, Perc Endo Approach",681,098691189-5,6,Simvastatin,Cardinal Health
"AVOBENZONE, OCTOCRYLENE, OXYBENZONE","Replace of R Metatarsotars Jt with Synth Sub, Open Approach",412,245258813-X,4,PETER ISLAND Continuous Sunscreen KIDS 50 BROAD SPECTRUM SPF 50 Water Resistant,Amway Corp.
DOXORUBICIN HYDROCHLORIDE,"Dilate R Com Carotid, Bifurc, w 2 Drug-elut, Perc",15,034852926-0,10,Doxorubicin Hydrochloride,Pfizer Laboratories Div Pfizer Inc
Metoclopramide,"Resection of Right Frontal Bone, Open Approach",206,083991064-9,2,Metoclopramide,"Teva Parenteral Medicines, Inc."
prochlorperazine,"Bypass Hemiazygos Vein to Up Vein w Autol Vn, Perc Endo",131,010681545-8,10,Prochlorperazine Maleate,"UDL Laboratories, Inc."
acyclovir,"Replacement of Lumsac Jt with Synth Sub, Open Approach",517,820405521-8,1,Acyclovir,"Aphena Pharma Solutions - Tennessee, LLC"
Gabapentin,Beam Radiation of Colon using Photons >10 MeV,150,437521975-0,9,Gabapentin,American Health Packaging
Fluconazole,"Repair Uvula, Percutaneous Approach",539,719495450-8,10,Fluconazole,Aurobindo Pharma Limited
Cocklebur,Computerized Tomography (CT Scan) of Right Toe(s),364,063879074-3,8,Cocklebur,"Nelco Laboratories, Inc."
Fluconazole,"Dilate L Int Iliac Art w Drug-elut Intra, Perc Endo",54,206969067-9,6,Fluconazole,"Taro Pharmaceuticals U.S.A., Inc."
cephalexin,"Destruction of Left Vertebral Artery, Percutaneous Approach",16,530607616-5,6,Keflex,Shionogi Inc.
Titanium Dioxide and Zinc oxide,Muscle Perform Trmt Neuro Up Back/UE w Prosthesis,117,044341734-2,5,bareMinerals READY Touch Up Veil Broad Spectrum SPF 15,Bare Escentuals Beauty Inc.
Alcohol,"Introduction of Oth Diagn Subst into Muscle, Perc Approach",730,391904199-2,2,Hand Sanitizer,Family Dollar Services Inc.
Danazol,"Supplement Larynx with Synthetic Substitute, Endo",760,534394136-2,5,Danazol,"AvKARE, Inc."
Hydrocortisone,"Introduce Oth Antineoplastic in Mouth/Phar, Extern",568,178735514-4,7,Cortizone 10,"Chattem, Inc."
"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE","Control Bleeding in Right Ankle Region, Open Approach",388,465126224-4,2,Select Brand Baby Sunscreen,Select Brand Distributors
Celery,"Drain R Low Extrem Bursa/Lig w Drain Dev, Perc",825,036461230-4,10,CELERY,"ALK-Abello, Inc."
Pramipexole Dihydrochloride,"Replacement of Sacrum with Synth Sub, Open Approach",50,743591261-1,9,Pramipexole Dihydrochloride,Lake Erie Medical DBA Quality Care Products LLC
BENZALKONIUM CHLORIDE,"Reposition Left Fibula with Int Fix, Perc Approach",668,016387495-6,7,CVS PHARMACY,CVS PHARMACY
nebivolol hydrochloride,"Replacement of R Temporal Bone with Synth Sub, Perc Approach",143,092427259-7,3,Bystolic,Cardinal Health
"CITRIC ACID MONOHYDRATE, TRISODIUM CITRATE DIHYDRATE, SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE, ANHYDROUS DEXTROSE","Removal of Nonaut Sub from Trunk Subcu/Fascia, Open Approach",215,817642594-X,6,Haemonetics Anticoagulant Citrate Phosphate Double Dextrose Solution (CP2D),Haemonetics Corporation
Miconazole Nitrate,"Occlusion of L Int Carotid with Intralum Dev, Open Approach",307,681110281-0,4,Quality Choice,Chain Drug Marketing Association
"dimethicone, octinoxate, octisalate, oxybenzone","Extirpation of Matter from R Adrenal Gland, Open Approach",568,412708682-3,9,Softlips,The Mentholatum Company
Zonisamide,"Revision of Ext Fix in L Tarsal Jt, Perc Approach",988,853510685-5,3,Zonisamide,Dr. Reddy's Laboratories Limited
Acarbose,"Repair Left Upper Arm Muscle, Percutaneous Approach",713,167447106-8,4,Acarbose,"Roxane Laboratories, Inc"
FLUORIDE TREATMENT,"Extirpation of Matter from L Ant Tib Art, Perc Approach",390,263202174-X,7,PCXX NEUTRAL GEL CREME DE MENTHE,Ross Healthcare Inc.
psyllium husk,"Extirpation of Matter from Olfactory Nerve, Open Approach",821,962053682-7,6,"Original Texture, Orange Flavor",Guardian Drug Company
EUPATORIUM PERFOLIATUM FLOWERING TOP,"Excision of Upper Esophagus, Endo",225,416409603-9,9,Colds Flu,Natural Health Supply
"Fucus vesiculosus, Cyanocobalamin, Glandula suprarenalis suis, Hepar suis, L-carnitine, L-ornithine, Antimonium crudum, Thyroidinum suis, Natrum sulphuricum, Pancreatinum, Hypothalamus (suis),","Dilate of L Ext Carotid with 3 Drug-elut, Perc Endo Approach",142,087376302-5,8,Dr. Pearsalls 500 Calorie Diet,Apotheca Company
Metoprolol tartrate,"Supplement L Little Finger w Autol Sub, Perc Endo",180,426925484-X,10,Metoprolol Tartrate,Proficient Rx LP
Codfish,"Excision of Lower Back, Percutaneous Approach, Diagnostic",69,918285325-8,2,Codfish,"Nelco Laboratories, Inc."
Gel for Burns,"Occlusion of Stomach, Pylorus, Endo",672,300770699-8,3,Burn Jel Plus,Water-Jel Technologies
MENTHOL,"Dilation of L Ext Carotid, Bifurc, Open Approach",231,928494372-8,6,PARAID Extra Strength Menthol Pain Relief Sleeve WRIST and Small Ankles and Elbows,"Planet (Suzhou) Medical Products Co., Ltd."
Bismuth Subsalicylate,"Dilate Inf Mesent Art w 3 Drug-elut, Perc Endo",820,218325654-0,10,Stomach Relief,ARMY AND AIR FORCE EXCHANGE SERVICE
Amlodipine Besylate and Benazepril Hydrochloride,"Destruction of Hypoglossal Nerve, Percutaneous Approach",133,449461230-8,10,Amlodipine Besylate and Benazepril Hydrochloride,"Lupin Pharmaceuticals, Inc."
"MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE","Dilate of Face Art, Bifurc, with 2 Drug-elut, Perc Approach",897,576927427-1,7,MAGNESIA PHOS,Hyland's
Zinc Oxide,"Group Counsel for Substance Abuse Treatment, Continuing Care",729,385255171-4,10,LBEL MAXIMUM COMFORT AND LONG-LASTING FOUNDATION SPF 10,Ventura Corporation LTD
"Avobenzone, Homosalate, Octisalate and Octocrylene","Bypass Cecum to Cutaneous, Open Approach",932,639689601-X,5,SkinCeuticals Sport UV Defense Sunscreen Broad Spectrum SPF 50,L'Oreal USA Products Inc
calcipotriene and betamethasone dipropionate,"Bypass Cecum to Asc Colon with Autol Sub, Perc Endo Approach",958,662806944-3,8,Taclonex Scalp,"Physicians Total Care, Inc."
Bismuth subsalicylate,"Drainage of Left Spermatic Cord, Perc Endo Approach",815,901479645-5,3,Pepto-Bismol,Procter & Gamble Manufacturing Company
rosiglitazone maleate,"Division of Right Toe Phalanx, Open Approach",303,979661595-9,9,AVANDIA,Cardinal Health
Phenol,"Drainage of R Up Leg Muscle, Perc Endo Approach, Diagn",365,141614152-9,9,Aseptil Rojo,"Menper Distributors, Inc."
"carbidopa, levodopa and entacapone","Excision of Left Renal Artery, Perc Endo Approach",887,928405514-8,1,"carbidopa, levodopa and entacapone",Wockhardt USA LLC.
Atenolol and Chlorthalidone,"Removal of Extraluminal Device from Bladder, Via Opening",447,786935618-2,7,Atenolol and Chlorthalidone,"PD-Rx Pharmaceuticals, Inc."
SODIUM FLUORIDE,"Repair Left Parietal Bone, External Approach",849,629155014-8,7,Dental Clinic 2080 K Strong Winter Green,"Aekyung Ind. Co., Ltd."
"Symphytum Officinale, Rhus Toxicodendron, Ledum Palustre",Hyperthermia of Pelvic Region,157,840068232-7,8,Triflora,Natures Way Holding Co.
Docusate sodium and Sennosides,"Revision of Neuro Lead in Periph Nrv, Perc Approach",90,269048363-7,4,Stool Softener plus stimulant Laxative,Mckesson (Sunmark)
norgestrel and ethinyl estradiol,"Revision of Nonaut Sub in R Fibula, Extern Approach",659,534334034-2,10,Cryselle,Barr Laboratories Inc.
Distichlis spicata,"Extirpation of Matter from Prostate, Endo",96,310896964-1,9,Salt Grass Pollen,"Allermed Laboratories, Inc."
PROTAMINE SULFATE,"Occlusion of R Basilic Vein with Intralum Dev, Perc Approach",378,519037560-9,8,Protamine Sulfate,"Fresenius Kabi USA, LLC"
Pyrithione Zinc,"Drainage of R Up Arm Tendon with Drain Dev, Perc Approach",266,546360298-0,7,Axe,Conopco Inc. d/b/a Unilever
ASPIRIN,"Removal of Synth Sub from R Elbow Jt, Perc Endo Approach",443,571775279-2,8,ASPIRIN,St Marys Medical Park Pharmacy
Mirtazapine,Caregiver Training in Applic/Use/Care Dev using Orthosis,430,079119385-3,1,Mirtazapine,Prasco Laboratories
Acetaminophen and Phenylephrine HCl,"Drainage of Right Cornea, External Approach",952,276693396-4,4,Sinus Congestion and Pain Daytime,NASH-FINCH COMPANY
levothyroxine sodium,"Dilate L Popl Art, Bifurc, w 3 Drug-elut, Perc Endo",877,559069110-9,5,Unithroid,"Gemini Laboratories, LLC"
FUSARIUM VASINFECTUM,"Remove Infusion Pump from Trunk Subcu/Fascia, Extern",867,800565439-1,9,FUSARIUM OXYSPORUM VASINFECTUM,"ALK-Abello, Inc."
